Standard Model;G1;Bus 7;Bus 5;Bus 7;Bus 5
"Zeitpunkt in s";"Nenn-Leistungsfaktor";"U, rel.Winkel in deg";"U, rel.Winkel in deg";"u1, Betrag in p.u.";"u1, Betrag in p.u."
-0,100000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,099000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,098000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,097000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,096000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,095000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,094000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,093000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,092000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,091000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,090000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,089000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,088000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,087000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,086000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,085000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,084000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,083000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,082000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,081000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,080000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,079000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,078000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,077000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,076000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,075000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,074000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,073000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,072000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,071000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,070000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,069000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,068000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,067000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,066000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,065000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,064000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,063000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,062000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,061000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,060000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,059000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,058000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,057000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,056000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,055000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,054000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,053000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,052000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,051000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,050000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,049000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,048000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,047000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,046000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,045000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,044000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,043000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,042000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,041000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,040000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,039000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,038000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,037000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,036000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,035000;1,000000;3,719705;-3,988803;1,025769;0,995631
-0,034000;1,000000;3,719705;-3,988803;1,025769;0,995631
