Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
-0,100000;17,408873;10,894068
-0,099000;17,408873;10,894068
-0,098000;17,408873;10,894068
-0,097000;17,408873;10,894068
-0,096000;17,408873;10,894068
-0,095000;17,408873;10,894068
-0,094000;17,408873;10,894068
-0,093000;17,408873;10,894068
-0,092000;17,408873;10,894068
-0,091000;17,408873;10,894068
-0,090000;17,408873;10,894068
-0,089000;17,408873;10,894068
-0,088000;17,408873;10,894068
-0,087000;17,408873;10,894068
-0,086000;17,408873;10,894068
-0,085000;17,408873;10,894068
-0,084000;17,408873;10,894068
-0,083000;17,408873;10,894068
-0,082000;17,408873;10,894068
-0,081000;17,408873;10,894068
-0,080000;17,408873;10,894068
-0,079000;17,408873;10,894068
-0,078000;17,408873;10,894068
-0,077000;17,408873;10,894068
-0,076000;17,408873;10,894068
-0,075000;17,408873;10,894068
-0,074000;17,408873;10,894068
-0,073000;17,408873;10,894068
-0,072000;17,408873;10,894068
-0,071000;17,408873;10,894068
-0,070000;17,408873;10,894068
-0,069000;17,408873;10,894068
-0,068000;17,408873;10,894068
-0,067000;17,408873;10,894068
-0,066000;17,408873;10,894068
-0,065000;17,408873;10,894068
-0,064000;17,408873;10,894068
-0,063000;17,408873;10,894068
-0,062000;17,408873;10,894068
-0,061000;17,408873;10,894068
-0,060000;17,408873;10,894068
-0,059000;17,408873;10,894068
-0,058000;17,408873;10,894068
-0,057000;17,408873;10,894068
-0,056000;17,408873;10,894068
-0,055000;17,408873;10,894068
-0,054000;17,408873;10,894068
-0,053000;17,408873;10,894068
-0,052000;17,408873;10,894068
-0,051000;17,408873;10,894068
-0,050000;17,408873;10,894068
-0,049000;17,408873;10,894068
-0,048000;17,408873;10,894068
-0,047000;17,408873;10,894068
-0,046000;17,408873;10,894068
-0,045000;17,408873;10,894068
-0,044000;17,408873;10,894068
-0,043000;17,408873;10,894068
-0,042000;17,408873;10,894068
-0,041000;17,408873;10,894068
-0,040000;17,408873;10,894068
-0,039000;17,408873;10,894068
-0,038000;17,408873;10,894068
-0,037000;17,408873;10,894068
-0,036000;17,408873;10,894068
-0,035000;17,408873;10,894068
-0,034000;17,408873;10,894068
-0,033000;17,408873;10,894068
-0,032000;17,408873;10,894068
-0,031000;17,408873;10,894068
-0,030000;17,408873;10,894068
-0,029000;17,408873;10,894068
-0,028000;17,408873;10,894068
-0,027000;17,408873;10,894068
-0,026000;17,408873;10,894068
-0,025000;17,408873;10,894068
-0,024000;17,408873;10,894068
-0,023000;17,408873;10,894068
-0,022000;17,408873;10,894068
-0,021000;17,408873;10,894068
-0,020000;17,408873;10,894068
-0,019000;17,408873;10,894068
-0,018000;17,408873;10,894068
-0,017000;17,408873;10,894068
-0,016000;17,408873;10,894068
-0,015000;17,408873;10,894068
-0,014000;17,408873;10,894068
-0,013000;17,408874;10,894068
