Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,000000;54,006819;46,783709;54,006819
0,000500;54,007463;46,784092;54,007463
0,001167;54,009180;46,785115;54,009180
0,002167;54,013472;46,787673;54,013472
0,003167;54,020340;46,791763;54,020340
0,004167;54,029783;46,797388;54,029783
0,005167;54,041802;46,804545;54,041802
0,006167;54,056396;46,813234;54,056396
0,007167;54,073567;46,823455;54,073567
0,008167;54,093313;46,835207;54,093313
0,009167;54,115636;46,848489;54,115636
0,010167;54,140535;46,863300;54,140535
0,011167;54,168011;46,879639;54,168011
0,012167;54,198062;46,897505;54,198062
0,013167;54,230690;46,916897;54,230690
0,014167;54,265894;46,937813;54,265894
0,015167;54,303675;46,960252;54,303675
0,016167;54,344031;46,984213;54,344031
0,017167;54,386963;47,009694;54,386963
0,018167;54,432471;47,036694;54,432471
0,019167;54,480554;47,065210;54,480554
0,020167;54,531213;47,095241;54,531213
0,021167;54,584447;47,126785;54,584447
0,022167;54,640256;47,159841;54,640256
0,023167;54,698640;47,194406;54,698640
0,024167;54,759598;47,230477;54,759598
0,025167;54,823130;47,268054;54,823130
0,026167;54,889236;47,307133;54,889236
0,027167;54,957916;47,347713;54,957916
0,028167;55,029169;47,389790;55,029169
0,029167;55,102994;47,433364;55,102994
0,030167;55,179392;47,478430;55,179392
0,031167;55,258362;47,524987;55,258362
0,032167;55,339904;47,573031;55,339904
0,033167;55,424017;47,622561;55,424017
0,034167;55,510700;47,673573;55,510700
0,035167;55,599954;47,726064;55,599954
0,036167;55,691777;47,780032;55,691777
0,037167;55,786170;47,835474;55,786170
0,038167;55,883132;47,892386;55,883132
0,039167;55,982661;47,950766;55,982661
0,040167;56,084758;48,010611;56,084758
0,041167;56,189423;48,071916;56,189423
0,042167;56,296654;48,134679;56,296654
0,043167;56,406451;48,198897;56,406451
0,044167;56,518813;48,264566;56,518813
0,045167;56,633740;48,331684;56,633740
0,046167;56,751231;48,400245;56,751231
0,047167;56,871286;48,470247;56,871286
0,048167;56,993903;48,541687;56,993903
0,049167;57,119083;48,614560;57,119083
0,050000;57,225534;48,676479;57,225534
0,050500;57,290068;48,714079;57,290068
0,051167;57,376428;48,764494;57,376428
0,052167;57,506597;48,840675;57,506597
0,053167;57,637704;48,917691;57,637704
0,054167;57,769740;48,995534;57,769740
0,055167;57,902700;49,074199;57,902700
0,056167;58,036577;49,153679;58,036577
0,057167;58,171364;49,233967;58,171364
0,058167;58,307055;49,315057;58,307055
0,059167;58,443642;49,396942;58,443642
0,060167;58,581120;49,479616;58,581120
0,061167;58,719480;49,563073;58,719480
0,062167;58,858717;49,647306;58,858717
0,063167;58,998824;49,732308;58,998824
0,064167;59,139793;49,818073;59,139793
0,065167;59,281619;49,904594;59,281619
0,066167;59,424295;49,991866;59,424295
0,067167;59,567813;50,079881;59,567813
0,068167;59,712166;50,168633;59,712166
0,069167;59,857349;50,258115;59,857349
0,070167;60,003355;50,348322;60,003355
0,071167;60,150176;50,439245;60,150176
0,072167;60,297805;50,530880;60,297805
0,073167;60,446237;50,623219;60,446237
0,074167;60,595464;50,716256;60,595464
0,075167;60,745479;50,809984;60,745479
0,076167;60,896276;50,904398;60,896276
0,077167;61,047847;50,999489;61,047847
0,078167;61,200187;51,095252;61,200187
0,079167;61,353287;51,191681;61,353287
0,080167;61,507142;51,288768;61,507142
0,081167;61,661745;51,386507;61,661745
0,082167;61,817088;51,484892;61,817088
0,083167;61,973165;51,583916;61,973165
0,084167;62,129969;51,683573;62,129969
0,085167;62,287493;51,783855;62,287493
0,086167;62,445730;51,884757;62,445730
0,087167;62,604674;51,986272;62,604674
0,088167;62,764317;52,088394;62,764317
0,089167;62,924653;52,191115;62,924653
0,090167;63,085675;52,294430;63,085675
0,091167;63,247377;52,398331;63,247377
0,092167;63,409750;52,502813;63,409750
0,093167;63,572789;52,607869;63,572789
0,094167;63,736486;52,713491;63,736486
0,095167;63,900834;52,819675;63,900834
0,096167;64,065828;52,926412;64,065828
0,097167;64,231459;53,033697;64,231459
0,098167;64,397722;53,141524;64,397722
0,099167;64,564608;53,249885;64,564608
0,100167;64,732112;53,358774;64,732112
0,101167;64,900226;53,468184;64,900226
0,102167;65,068944;53,578110;65,068944
0,103167;65,238258;53,688544;65,238258
0,104167;65,408162;53,799480;65,408162
0,105167;65,578649;53,910912;65,578649
0,106167;65,749712;54,022833;65,749712
0,107167;65,921344;54,135236;65,921344
0,108167;66,093538;54,248116;66,093538
0,109167;66,266288;54,361465;66,266288
0,110167;66,439586;54,475277;66,439586
0,111167;66,613426;54,589546;66,613426
0,112167;66,787800;54,704265;66,787800
0,113167;66,962702;54,819428;66,962702
0,114167;67,138126;54,935029;67,138126
0,115167;67,314063;55,051060;67,314063
0,116167;67,490508;55,167516;67,490508
0,117167;67,667453;55,284390;67,667453
0,118167;67,844891;55,401675;67,844891
0,119167;68,022816;55,519366;68,022816
0,120167;68,201221;55,637456;68,201221
0,121167;68,380099;55,755938;68,380099
0,122167;68,559443;55,874806;68,559443
0,123167;68,739246;55,994054;68,739246
0,124167;68,919502;56,113675;68,919502
0,125167;69,100203;56,233664;69,100203
0,126167;69,281342;56,354013;69,281342
0,127167;69,462914;56,474717;69,462914
0,128167;69,644910;56,595769;69,644910
0,129167;69,827325;56,717162;69,827325
0,130167;70,010151;56,838891;70,010151
0,131167;70,193381;56,960950;70,193381
0,132167;70,377009;57,083331;70,377009
0,133167;70,561028;57,206029;70,561028
0,134167;70,745431;57,329038;70,745431
0,135167;70,930211;57,452351;70,930211
0,136167;71,115361;57,575962;71,115361
0,137167;71,300876;57,699865;71,300876
0,138167;71,486747;57,824054;71,486747
0,139167;71,672968;57,948522;71,672968
0,140167;71,859533;58,073264;71,859533
0,141167;72,046434;58,198273;72,046434
0,142167;72,233665;58,323544;72,233665
0,143167;72,421219;58,449069;72,421219
0,144167;72,609089;58,574844;72,609089
0,145167;72,797269;58,700861;72,797269
0,146167;72,985752;58,827116;72,985752
0,147167;73,174530;58,953601;73,174530
0,148167;73,363599;59,080312;73,363599
0,149167;73,552950;59,207241;73,552950
0,150167;73,742577;59,334383;73,742577
0,151167;73,932473;59,461732;73,932473
0,152167;74,122632;59,589283;74,122632
0,153167;74,313047;59,717028;74,313047
0,154167;74,503711;59,844963;74,503711
0,155167;74,694618;59,973081;74,694618
0,156167;74,885761;60,101377;74,885761
0,157167;75,077134;60,229844;75,077134
0,158167;75,268729;60,358477;75,268729
0,159167;75,460541;60,487270;75,460541
0,160167;75,652562;60,616218;75,652562
0,161167;75,844786;60,745314;75,844786
0,162167;76,037207;60,874553;76,037207
0,163167;76,229817;61,003929;76,229817
0,164167;76,422611;61,133437;76,422611
0,165167;76,615582;61,263070;76,615582
0,166167;76,808724;61,392824;76,808724
0,167167;77,002029;61,522692;77,002029
0,168167;77,195491;61,652669;77,195491
0,169167;77,389104;61,782749;77,389104
0,170167;77,582862;61,912928;77,582862
0,171167;77,776757;62,043198;77,776757
