Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,000000;57,401806;50,550639;57,401806
0,001000;57,401806;50,550639;57,401806
0,002000;57,401806;50,550639;57,401806
0,003000;57,401806;50,550639;57,401806
0,004000;57,401806;50,550639;57,401806
0,005000;57,401806;50,550639;57,401806
0,006000;57,401806;50,550639;57,401806
0,007000;57,401806;50,550639;57,401806
0,008000;57,401806;50,550639;57,401806
0,009000;57,401806;50,550639;57,401806
0,010000;57,401806;50,550639;57,401806
0,011000;57,401806;50,550640;57,401806
0,012000;57,401806;50,550640;57,401806
0,013000;57,401806;50,550640;57,401806
0,014000;57,401806;50,550640;57,401806
0,015000;57,401806;50,550640;57,401806
0,016000;57,401806;50,550640;57,401806
0,017000;57,401806;50,550640;57,401806
0,018000;57,401806;50,550640;57,401806
0,019000;57,401806;50,550640;57,401806
0,020000;57,401806;50,550640;57,401806
0,021000;57,401806;50,550640;57,401806
0,022000;57,401806;50,550640;57,401806
0,023000;57,401806;50,550640;57,401806
0,024000;57,401806;50,550640;57,401806
0,025000;57,401806;50,550640;57,401806
0,026000;57,401806;50,550640;57,401806
0,027000;57,401806;50,550640;57,401806
0,028000;57,401806;50,550640;57,401806
0,029000;57,401806;50,550640;57,401806
0,030000;57,401806;50,550640;57,401806
0,031000;57,401806;50,550640;57,401806
0,032000;57,401806;50,550640;57,401806
0,033000;57,401806;50,550640;57,401806
0,034000;57,401806;50,550640;57,401806
0,035000;57,401806;50,550640;57,401806
0,036000;57,401806;50,550640;57,401806
0,037000;57,401806;50,550640;57,401806
0,038000;57,401806;50,550640;57,401806
0,039000;57,401807;50,550640;57,401807
0,040000;57,401807;50,550640;57,401807
0,041000;57,401807;50,550640;57,401807
0,042000;57,401807;50,550640;57,401807
0,043000;57,401807;50,550640;57,401807
0,044000;57,401807;50,550640;57,401807
0,045000;57,401807;50,550640;57,401807
0,046000;57,401807;50,550640;57,401807
0,047000;57,401807;50,550640;57,401807
0,048000;57,401807;50,550640;57,401807
0,049000;57,401807;50,550640;57,401807
0,050000;57,401807;50,550640;57,401807
0,051000;57,401807;50,550640;57,401807
